// No,Defect Name, Pattern Name, Pattern No, Color(0x******), 사각형 선 두께, 사각형 크기,ZONE 점등
// 불량명이 UNDEFINED는 매칭 안되는 불량이 있을 경우 사용되는 패턴,,,,,,,
,,,,,,,
1,UNDEFINED,UNDEFINED,201,0x000000,5,100,D
2,OBJECT,WHITE/RED/GREEN/BLUE,101,0x000000,5,100,D
3,OBJECT,75GRAY,102,0x000000,5,100,D
4,OBJECT,29GRAY,103,0x000000,5,100,D
5,HIGH DOT,75GRAY/RED/BLUE,102,0x000000,5,100,B
6,HIGH DOT,29GRAY,103,0x000000,5,100,B
7,HIGH DOT,BLACK/ALPM_LOW,107,0x404040,5,100,B
8,HIGH DOT,GREEN,105,0x000000,5,100,B
9,ETC HIGH,75GRAY/RED/BLUE,102,0x000000,5,100,B
10,ETC HIGH,29GRAY,103,0x000000,5,100,B
11,ETC HIGH,BLACK/ALPM_LOW,107,0x404040,5,100,B
12,ETC HIGH,GREEN,105,0x000000,5,100,B
13,HIGH CONTIGUITY,75GRAY/RED/BLUE,102,0x000000,5,100,B
14,HIGH CONTIGUITY,29GRAY,103,0x000000,5,100,B
15,HIGH CONTIGUITY,BLACK/ALPM_LOW,107,0x404040,5,100,B
16,HIGH CONTIGUITY,GREEN,105,0x000000,5,100,B
17,OFF CONTIGUITY,WHITE/RED/GREEN/BLUE,101,0x000000,5,100,D
