¿Ü°ü°Ë»ç ³«ÇÏ,¿Ü°ü°Ë»ç ³«ÇÏ,¿Ü°ü°Ë»ç ³«ÇÏ,USO11,1
¿Ü°ü°Ë»ç MCR Mark ÝÕ,¿Ü°ü°Ë»ç MCR Mark ÝÕ,¿Ü°ü°Ë»ç MCR Mark ÝÕ,USO14,1
½ÇÀå ¼³ºñ ÂïÈû,½ÇÀå ¼³ºñ ÂïÈû,½ÇÀå ¼³ºñ ÂïÈû,USF22,1
½ÇÀå ³«ÇÏ,½ÇÀå ³«ÇÏ,½ÇÀå ³«ÇÏ,USF36,1
Lami ³«ÇÏ,¼³ºñ)Lami ³«ÇÏ,¼³ºñ)Lami ³«ÇÏ,USW22,1
ZONE OVER,Zone Over,Zone Over,USD14,1
FAB)S-TRIMMING,ZEBRA Defect,ZEBRA Defect,USL10,1
YELLOWISH,YELLOWISH,Yellowish,USU23,1
SPOT,W-Spot,W-Spot,USU26,1
WHITE DOT,W-Spot,W-Spot,USU26,1
SPOT HIGH,W-Spot,W-Spot,USU26,1
ÈòÁ¡¾ó·è,W-Spot,W-Spot,USU26,1
FAB)W-Spot,W-Spot,W-Spot,USU26,1
WINKEY FAIL ,WINKEY FAIL,WINKEY FAIL,UST120,1
WINKEY FAIL,WINKEY FAIL,WINKEY FAIL,UST120,1
WINDOW Ä«¸Þ¶ó,WINDOW Ä«¸Þ¶ó,WINDOW Ä«¸Þ¶ó,USW09,1
WINDOW ÀÎ¼â,WINDOW ÀÎ¼â,WINDOW ÀÎ¼â,USW10,1
WINDOW µ¹±â,WINDOW µ¹±â,WINDOW µ¹±â,USW24,1
WINDOW¾ó·è,Window Spot,Window Spot,USW02,1
WINDOWÂïÈû,Window Spear,Window Spear,USW03,1
WINDOW S/C,WINDOW S/C,Window Scratch,USW04,1
Window Others,Window Others,Window Others,USW06,1
WINDOW¿Ü°ü±âÅ¸,Window Others,Window Others,USW06,1
WINDOW LOG,WINDOW LOG,WINDOW LOG,USW08,1
WINDOW IR,WINDOW IR,WINDOW IR,USW07,1
WINDOW ICON,WINDOW ICON,WINDOW ICON,USW11,1
WINDOW Crack,WINDOW Crack,WINDOW Crack,USW05,1
WINDOW ¿À¿°,WINDOW Contamination,WINDOW Contamination,USW26,1
WINDOW Chipping,WINDOW Chipping,WINDOW Chipping,USW16,1
WINDOW Broken,Window Broken,Window Broken,USW17,1
Window,Window Alien,Window Alien,USW01,1
Window Imul,Window Alien,Window Alien,USW01,1
Window Alien,Window Alien,Window Alien,USW01,1
WINDOWÀÌ¹°,Window Alien,Window Alien,USW01,1
WHITE SPOT,White Spot,W-Spot,USU26,1
FAB)¹°¾ó·è,Water Stain,Water Stain,USU18,1
VERTICAL STAIN,VL Stain,VL Stain,USU16,1
HE VERTICAL LINE,VL Stain,VL Stain,USU16,1
VERTICAL,VL Stain,VL Stain,USU16,1
VERTICAL ETC,VL Stain,VL Stain,USU16,1
Vertical Line Spot,VL Stain,VL Stain,USU16,1
FAB)¼¼·ÎÁÙ¾ó·è,VL Stain,VL Stain,USU16,1
COMPENSATION TIME OVER,Vision Error,Vision Error,USU34,1
DISPLAY DEFECT,Vision Error,Vision Error,USU34,1
DisplayºÒ·®,Vision Error,Vision Error,USU34,1
INSPECTION FAIL,Vision Error,Vision Error,USU34,1
NO PANEL,Vision Error,Vision Error,USU34,1
VISION DATA READING FAIL,Vision Error,Vision Error,USU34,1
Insp Class End - Vision Time Out,Vision Error,Vision Error,USU34,1
poc Class End - Compensation Grab Time Out,Vision Error,Vision Error,USU34,1
Grab End  - Vision Time Out,Vision Error,Vision Error,USU34,1
PROC.POC  - POC Process Time Out,Vision Error,Vision Error,USU34,1
PROC.INSP - INSP Process Time Out,Vision Error,Vision Error,USU34,1
TIMEOUT_COMPENSATION ,TIMEOUT_COMPENSATION,TIMEOUT_COMPENSATION,USF48,1
