RAW NG Title,Print Label Title,MES Title,MES Code,TRAY,Group,AB Rule,;; Update : 2018.01.22 (Tray 0=R/J 1=Bin2)(AB Rule 0=R/J 1=AB)
ZONE OVER,ZONE OVER,Zone Over,USD14,1,,1
FAB)S-TRIMMING,FAB)S-TRIMMING,ZEBRA Defect,USL10,1,,1
YELLOWISH,YELLOWISH,Yellowish,USU23,1,,1
SPOT,SPOT,W-Spot,USU26,1,,1
WHITE DOT,WHITE DOT,W-Spot,USU26,1,,1
SPOT HIGH,SPOT HIGH,W-Spot,USU26,1,,1
FAB)W-Spot,FAB)W-Spot,W-Spot,USU26,1,,1
WINKEY FAIL ,WINKEY FAIL ,WINKEY FAIL,UST120,1,,1
WINKEY FAIL,WINKEY FAIL,WINKEY FAIL,UST120,1,,1
WINDOW S/C,WINDOW S/C,Window Scratch,USW04,1,,1
Window Others,Window Others,Window Others,USW06,1,,1
WINDOW LOG,WINDOW LOG,WINDOW LOG,USW08,1,,1
WINDOW IR,WINDOW IR,WINDOW IR,USW07,1,,1
WINDOW ICON,WINDOW ICON,WINDOW ICON,USW11,1,,1
WINDOW Crack,WINDOW Crack,WINDOW Crack,USW05,1,,1
WINDOW Chipping,WINDOW Chipping,WINDOW Chipping,USW16,1,,1
WINDOW Broken,WINDOW Broken,Window Broken,USW17,1,,1
Window,Window,Window Alien,USW01,1,,1
Window Imul,Window Imul,Window Alien,USW01,1,,1
Window Alien,Window Alien,Window Alien,USW01,1,,1
WHITE SPOT,WHITE SPOT,W-Spot,USU26,1,,1
VERTICAL STAIN,VERTICAL STAIN,VL Stain,USU16,1,,1
HE VERTICAL LINE,HE VERTICAL LINE,VL Stain,USU16,1,,1
VERTICAL,VERTICAL,VL Stain,USU16,1,,1
VERTICAL ETC,VERTICAL ETC,VL Stain,USU16,1,,1
Vertical Line Spot,Vertical Line Spot,VL Stain,USU16,1,,1
COMPENSATION TIME OVER,COMPENSATION TIME OVER,Vision Error,USU34,1,,1
DISPLAY DEFECT,DISPLAY DEFECT,Vision Error,USU34,1,,1
INSPECTION FAIL,INSPECTION FAIL,Vision Error,USU34,1,,1
NO PANEL,NO PANEL,Vision Error,USU34,1,,1
VISION DATA READING FAIL,VISION DATA READING FAIL,Vision Error,USU34,1,,1
Insp Class End - Vision Time Out,Insp Class End - Vision Time Out,Vision Error,USU34,1,,1
poc Class End - Compensation Grab Time Out,poc Class End - Compensation Grab Time Out,Vision Error,USU34,1,,1
Grab End  - Vision Time Out,Grab End  - Vision Time Out,Vision Error,USU34,1,,1
PROC.POC  - POC Process Time Out,PROC.POC  - POC Process Time Out,Vision Error,USU34,1,,1
PROC.INSP - INSP Process Time Out,PROC.INSP - INSP Process Time Out,Vision Error,USU34,1,,1
TIMEOUT_COMPENSATION ,TIMEOUT_COMPENSATION ,Vision Error,USU34,1,,1
Vision Time Out,Vision Time Out,Vision Error,USU34,1,,1
Pattern Display Error,Pattern Display Error,Vision Error,USU34,1,,1
POC_PROC_TIMEOUT,POC_PROC_TIMEOUT,Vision Error,USU34,1,,1
INSP_PROC_TIMEOUT,INSP_PROC_TIMEOUT,Vision Error,USU34,1,,1
VEC_LOAD_TIMEOUT,VEC_LOAD_TIMEOUT,Vision Error,USU34,1,,1
Active Align Fail,Active Align Fail,Vision Error,USU34,1,,1
Data Defect Macro2,Data Defect Macro2,FT)S-Vertical Line,USO16,1,,1
DIRT,DIRT,UB Spot,USU24,1,,1
BL STAIN,BL STAIN,UB Spot,USU24,1,,1
PLANE STAIN,PLANE STAIN,UB Spot,USU24,1,,1
STAIN DARK,STAIN DARK,UB Spot,USU24,1,,1
STAIN HIGH,STAIN HIGH,UB Spot,USU24,1,,1
OBJECT,OBJECT,UB Spot,USU24,1,,1
BRUSH,BRUSH,UB Spot,USU24,1,,1
DISCOLOR,DISCOLOR,UB Spot,USU24,1,,1
TIRE,TIRE,UB Spot,USU24,1,,1
RING,RING,UB Spot,USU24,1,,1
RJ MASK,RJ MASK,UB Spot,USU24,1,,1
SCRATCH,SCRATCH,UB Spot,USU24,1,,1
SHADOW,SHADOW,UB Spot,USU24,1,,1
Panel Spot Others,Panel Spot Others,UB Spot,USU24,1,,1
Irregular Spot,Irregular Spot,UB Spot,USU24,1,,1
FAB)UB Spot,FAB)UB Spot,UB Spot,USU24,1,,1
T-CNT MOLD,T-CNT MOLD,TSP-CNT MOLD Fail,USF30,1,,1
TSP COM VERSION ,TSP COM VERSION ,TSP COM VERSION NG,UST111,1,,1
TSP COM VERSION NG,TSP COM VERSION NG,TSP COM VERSION NG,UST111,1,,1
TSP COM VERSION NG ,TSP COM VERSION NG ,TSP COM VERSION NG,UST111,1,,1
CF Version,CF Version,TSP COM VERSION NG,UST111,1,,1
VERSION CHECK ERROR,VERSION CHECK ERROR,TSP COM VERSION NG,UST111,1,,1
PROD VER ERROR,PROD VER ERROR,TSP COM VERSION NG,UST111,1,,1
PKGID VER ERROR,PKGID VER ERROR,TSP COM VERSION NG,UST111,1,,1
Title Ver Error,Title Ver Error,TSP COM VERSION NG,UST111,1,,1
Melfas Section version Fail[0F],Melfas Section version Fail[0F],TSP COM VERSION NG,UST111,1,,1
Melfas Section version Fail,Melfas Section version Fail,TSP COM VERSION NG,UST111,1,,1
CF Version[8226] NG,CF Version[8226] NG,TSP COM VERSION NG,UST111,1,,1
Core Ver Error,Core Ver Error,TSP COM VERSION NG,UST111,1,,1
TSP COM VERSION,TSP COM VERSION,TSP COM VERSION NG,UST111,1,,1
TSP SELF FAIL ,TSP SELF FAIL ,TSP SELF FAIL,UST107,1,,1
TSP SELF FAIL,TSP SELF FAIL,TSP SELF FAIL,UST107,1,,1
TSP Ref Ov,TSP Ref Ov,TSP CM OVER,UST90,1,,1
TSP REF OVER,TSP REF OVER,TSP CM OVER,UST90,1,,1
OVER ERROR,OVER ERROR,TSP CM OVER,UST90,1,,1
TSP CX2 OVER,TSP CX2 OVER,TSP CM OVER,UST90,1,,1
TSP CM OVER ,TSP CM OVER ,TSP CM OVER,UST90,1,,1
TSP CMS OVER ,TSP CMS OVER ,TSP CM OVER,UST90,1,,1
TSP CMR OVER ,TSP CMR OVER ,TSP CM OVER,UST90,1,,1
TSP Ref MM,TSP Ref MM,TSP CM M-M,UST93,1,,1
TSP RAW M/M,TSP RAW M/M,TSP CM M-M,UST93,1,,1
TSP REF M/M,TSP REF M/M,TSP CM M-M,UST93,1,,1
LIMIT[Max-Min],LIMIT[Max-Min],TSP CM M-M,UST93,1,,1
TSP CM M/M ,TSP CM M/M ,TSP CM M-M,UST93,1,,1
TSP CM M-M,TSP CM M-M,TSP CM M-M,UST93,1,,1
TSP CM M-M ,TSP CM M-M ,TSP CM M-M,UST93,1,,1
TSP CB Tx Over,TSP CB Tx Over,TSP CB OVER,UST99,1,,1
TSP CM SET OPEN ,TSP CM SET OPEN ,TSP CM OPEN,UST89,1,,1
TSP CM RAW OPEN ,TSP CM RAW OPEN ,TSP CM OPEN,UST89,1,,1
TSP CM AMBIENT OPEN ,TSP CM AMBIENT OPEN ,TSP CM OPEN,UST89,1,,1
TSP Open,TSP Open,TSP CM OPEN,UST89,1,,1
TSP REF OPEN,TSP REF OPEN,TSP CM OPEN,UST89,1,,1
OPEN ERROR,OPEN ERROR,TSP CM OPEN,UST89,1,,1
TSP RAW OPEN,TSP RAW OPEN,TSP CM OPEN,UST89,1,,1
Cypress Btn RawCount NG!,Cypress Btn RawCount NG!,TSP CM OPEN,UST89,1,,1
TSP CX2 OPEN,TSP CX2 OPEN,TSP CM OPEN,UST89,1,,1
TSP CM OPEN ,TSP CM OPEN ,TSP CM OPEN,UST89,1,,1
TSP SELF SENSING OPEN ,TSP SELF SENSING OPEN ,TSP CM OPEN,UST89,1,,1
TSP JIT OPEN ,TSP JIT OPEN ,TSP CM JITTER,UST97,1,,1
TSP NOH OPEN ,TSP NOH OPEN ,TSP CM OPEN,UST89,1,,1
TSP NOL OPEN ,TSP NOL OPEN ,TSP CM OPEN,UST89,1,,1
TSP SEN OPEN ,TSP SEN OPEN ,TSP CM OPEN,UST89,1,,1
TSP CMS OPEN ,TSP CMS OPEN ,TSP CM OPEN,UST89,1,,1
TSP CMR OPEN ,TSP CMR OPEN ,TSP CM OPEN,UST89,1,,1
TSP CS OPEN ,TSP CS OPEN ,TSP CM OPEN,UST89,1,,1
TSP CSR OPEN ,TSP CSR OPEN ,TSP CM OPEN,UST89,1,,1
TSP_OPEN FAIL,TSP_OPEN FAIL,TSP CM OPEN,UST89,1,,1
TSP CM SET OPEN,TSP CM SET OPEN,TSP CM SET,UST96,1,,1
TSP CM RAW OPEN,TSP CM RAW OPEN,TSP CM OPEN,UST89,1,,1
TSP CM AMBIENT OPEN,TSP CM AMBIENT OPEN,TSP CM OPEN,UST89,1,,1
TSP OCA Tilt,TSP OCA Tilt,TSP OCA Tilt,USM8,1,,1
TSP No Display,TSP No Display,TSP COM CMD NG,UST115,1,,1
TSP NOT found,TSP NOT found,TSP COM CMD NG,UST115,1,,1
TSP NOT FOUND!,TSP NOT FOUND!,TSP COM CMD NG,UST115,1,,1
F$34 is not found,F$34 is not found,TSP COM CMD NG,UST115,1,,1
DEVICE NOT FOUND,DEVICE NOT FOUND,TSP COM CMD NG,UST115,1,,1
FTS INITIAL FAIL!,FTS INITIAL FAIL!,TSP COM CMD NG,UST115,1,,1
TSP_NO DATA,TSP_NO DATA,TSP COM CMD NG,UST115,1,,1
TSP Operation Fail,TSP Operation Fail,TSP COM CMD NG,UST115,1,,1
TSP Abs Over ERROR,TSP Abs Over ERROR,TSP COM CMD NG,UST115,1,,1
TSP Abs Over,TSP Abs Over,TSP COM CMD NG,UST115,1,,1
TSP REF ALL,TSP REF ALL,TSP CM ALL,UST94,1,,1
TSP CM ALL ,TSP CM ALL ,TSP CM ALL,UST94,1,,1
TSP JIT ALL ,TSP JIT ALL ,TSP CM JITTER,UST97,1,,1
TSP NOH ALL ,TSP NOH ALL ,TSP CM ALL,UST94,1,,1
TSP NOL ALL ,TSP NOL ALL ,TSP CM ALL,UST94,1,,1
TSP SEN ALL ,TSP SEN ALL ,TSP CM ALL,UST94,1,,1
TSP CMS ALL ,TSP CMS ALL ,TSP CM ALL,UST94,1,,1
